symbol,date,close,adjusted_close,change,matched_volume,matched_value,agreement_volume,agreement_value,open,high,low
FPT,04/01/2010,82.5,4.96,+3.50 (+4.43%),235620,19.23,0,0,81,82.5,79
FPT,05/01/2010,82.5,4.96,0 (0.00%),200040,16.78,0,0,85.5,85.5,82.5
FPT,06/01/2010,81,4.87,-1.50 (-1.82%),94870,7.76,0,0,82.5,83.5,79.5
FPT,07/01/2010,80.5,4.84,-0.50 (-0.62%),102720,8.3,0,0,81,81.5,80
FPT,08/01/2010,78,4.69,-2.50 (-3.11%),161560,12.93,0,0,82,82,78
FPT,11/01/2010,77.5,4.66,-0.50 (-0.64%),126590,9.84,0,0,79.5,79.5,76.5
FPT,12/01/2010,76,4.57,-1.50 (-1.94%),226250,17.41,0,0,77,78,76
FPT,13/01/2010,78.5,4.72,+2.50 (+3.29%),146230,11.14,0,0,76,78.5,75
FPT,14/01/2010,79,4.75,+0.50 (+0.64%),124220,9.82,0,0,80,80,78
FPT,15/01/2010,77.5,4.66,-1.50 (-1.90%),81780,6.39,0,0,79,79,77.5
FPT,18/01/2010,76,4.57,-1.50 (-1.94%),142680,10.94,0,0,77,77,76
FPT,19/01/2010,77.5,4.66,+1.50 (+1.97%),125670,9.75,0,0,78,78.5,76.5
FPT,20/01/2010,79,4.75,+1.50 (+1.94%),344660,27.17,0,0,79.5,80,77.5
FPT,21/01/2010,78,4.69,-1.00 (-1.27%),226540,17.68,0,0,78,79,77.5
FPT,22/01/2010,78,4.69,0 (0.00%),132330,10.3,0,0,78,78.5,76.5
FPT,25/01/2010,78.5,4.72,+0.50 (+0.64%),44160,3.45,0,0,78,78.5,78
FPT,26/01/2010,81,4.87,+2.50 (+3.18%),126830,10.18,0,0,80,81,78.5
FPT,27/01/2010,78,4.69,-3.00 (-3.70%),125540,9.86,0,0,81,81,78
FPT,28/01/2010,78,4.69,0 (0.00%),37340,2.91,0,0,77,78.5,77
FPT,29/01/2010,77,4.63,-1.00 (-1.28%),100130,7.73,0,0,77.5,78,77
FPT,01/02/2010,78,4.69,+1.00 (+1.30%),122980,9.57,0,0,76.5,79,76.5
FPT,02/02/2010,81,4.87,+3.00 (+3.85%),401340,32.21,0,0,80,81,79.5
FPT,03/02/2010,84.5,5.08,+3.50 (+4.32%),688030,57.52,0,0,83.5,84.5,82
FPT,04/02/2010,84.5,5.08,0 (0.00%),417620,35.17,0,0,84,85,83.5
FPT,05/02/2010,81,4.87,-3.50 (-4.14%),252750,20.84,0,0,83.5,84,80.5
FPT,08/02/2010,83,4.99,+2.00 (+2.47%),165000,13.54,0,0,80.5,83,80.5
FPT,09/02/2010,79.5,4.78,-3.50 (-4.22%),202980,16.37,0,0,81.5,83,79.5
FPT,10/02/2010,82,4.93,+2.50 (+3.14%),68750,5.63,0,0,81.5,82,81.5
FPT,11/02/2010,83.5,5.02,+1.50 (+1.83%),142740,11.84,0,0,83,83.5,82
FPT,12/02/2010,84,5.05,+0.50 (+0.60%),269440,22.65,0,0,85,85,83.5
FPT,22/02/2010,83.5,5.02,-0.50 (-0.60%),156270,13.11,0,0,84.5,84.5,83
FPT,23/02/2010,80.5,4.84,-3.00 (-3.59%),129220,10.46,0,0,81.5,82,80
FPT,24/02/2010,80.5,4.84,0 (0.00%),187720,15.1,0,0,80,81,80
FPT,25/02/2010,80.5,4.84,0 (0.00%),268610,21.58,0,0,80.5,81.5,79.5
FPT,26/02/2010,78,4.69,-2.50 (-3.11%),685260,53.84,0,0,80,80,78
FPT,01/03/2010,80,4.81,+2.00 (+2.56%),69350,5.55,0,0,80.5,80.5,80
FPT,02/03/2010,80,4.81,0 (0.00%),194250,15.54,0,0,80,80,79.5
FPT,03/03/2010,81,4.87,+1.00 (+1.25%),208570,16.87,0,0,81,81,80.5
FPT,04/03/2010,82.5,4.96,+1.50 (+1.85%),309130,25.36,0,0,82,82.5,81
FPT,05/03/2010,82,4.93,-0.50 (-0.61%),276710,22.8,0,0,82.5,83,82
FPT,08/03/2010,82.5,4.96,+0.50 (+0.61%),291290,24.06,0,0,82,83,82
FPT,09/03/2010,84,5.05,+1.50 (+1.82%),444180,37.06,0,0,83,84,83
FPT,10/03/2010,88,5.29,+4.00 (+4.76%),1193070,103.55,0,0,85.5,88,84.5
FPT,11/03/2010,89,5.35,+1.00 (+1.14%),241410,21.49,0,0,89.5,90,88
FPT,12/03/2010,89,5.35,0 (0.00%),337200,29.94,0,0,89.5,89.5,88
